banka,ihitiyac_kredisi,konut_kredisi,tasit_kredisi
Ziraat Bankası,"% 1,49","% 0,99","% 1,43"
ICBC Turkey,"% 1,59","% 1,47","% 1,52"
Kuveyt T&#252;rk,"% 1,75","% 1,47","% 1,65"
Senin Bankan,% 0,-,"% 1,65"
ING,"% 1,59","% 1,48","% 1,69"
Akbank,"% 2,06","% 1,49","% 1,93"
Yapı Kredi,"% 1,88","% 1,49","% 1,89"
Garanti BBVA,"% 1,99","% 1,53","% 1,84"
TEB,"% 2,30","% 1,55","% 1,77"
T&#252;rkiye Finans Katılım Bankası,"% 1,91","% 1,70","% 1,82"
